"TIME","GEO","NACE_R2","UNIT","AGE","Value"
"2008","DE27","F","THS","Y_GE15","60.1"
"2008","DE27","G-I","THS","Y_GE15","195.7"
"2008","DE27","J","THS","Y_GE15","22.6"
"2008","DE27","K","THS","Y_GE15","25.1"
"2008","DE27","L","THS","Y_GE15",":"
"2008","DE27","M_N","THS","Y_GE15","69.9"
"2008","DE27","O-Q","THS","Y_GE15","184.6"
"2008","DE27","R-U","THS","Y_GE15","43.9"
"2008","DE27","NRP","THS","Y_GE15",":"
"2008","DE30","TOTAL","THS","Y_GE15","1,505.9"
"2008","DE30","A","THS","Y_GE15",":"
"2008","DE30","B-E","THS","Y_GE15","155.0"
"2008","DE30","F","THS","Y_GE15","87.6"
"2008","DE30","G-I","THS","Y_GE15","324.9"
"2008","DE30","J","THS","Y_GE15","89.1"
"2008","DE30","K","THS","Y_GE15","37.9"
"2008","DE30","L","THS","Y_GE15","21.8"
"2008","DE30","M_N","THS","Y_GE15","220.0"
"2008","DE30","O-Q","THS","Y_GE15","449.5"
"2008","DE30","R-U","THS","Y_GE15","116.6"
"2008","DE30","NRP","THS","Y_GE15",":"
"2008","DE40","TOTAL","THS","Y_GE15","1,221.0"
"2008","DE40","A","THS","Y_GE15","34.6"
"2008","DE40","B-E","THS","Y_GE15","193.7"
"2008","DE40","F","THS","Y_GE15","122.9"
"2008","DE40","G-I","THS","Y_GE15","271.3"
"2008","DE40","J","THS","Y_GE15","26.9"
"2008","DE40","K","THS","Y_GE15","28.5"
"2008","DE40","L","THS","Y_GE15","11.0"
"2008","DE40","M_N","THS","Y_GE15","108.8"
"2008","DE40","O-Q","THS","Y_GE15","356.7"
"2008","DE40","R-U","THS","Y_GE15","66.8"
"2008","DE40","NRP","THS","Y_GE15",":"
"2008","DE50","TOTAL","THS","Y_GE15","286.2"
"2008","DE50","A","THS","Y_GE15",":"
"2008","DE50","B-E","THS","Y_GE15","51.8"
"2008","DE50","F","THS","Y_GE15","16.3"
"2008","DE50","G-I","THS","Y_GE15","75.9"
"2008","DE50","J","THS","Y_GE15","8.1"
"2008","DE50","K","THS","Y_GE15","8.1"
